timestamp_utc,date,action,signal,signal_raw,confidence,btc_price,target_contracts,current_contracts,delta_contracts,order_submitted,portfolio_value,net_liquidation,account_status,method,live_text_rows,scored_text_rows,components_json,order_result_json
2026-05-25T20:05:14.785754+00:00,2026-05-25,hold,SHORT,-1,0.09158951372762231,77408.1171875,0,0,0,false,1000000.0,1000000.0,connected,live_scrape_cryptobert_mlp_ppo_ensemble,162,162,"{""baseline_confidence"":0.9086805582046509,""baseline_signal"":0,""ensemble_confidence"":0.09158951372762231,""ensemble_raw"":-0.09158951372762231,""ensemble_signal"":-1,""mean_confidence"":0.019756898283958435,""mean_signal"":0,""mlp_confidence"":0.9845842719078064,""mlp_probs"":[0.012513156048953533,0.9845842719078064,0.0029026500415056944],""mlp_signal"":0,""ppo_actions"":[0.12012685835361481,0.4155190587043762,-0.8981907367706299],""ppo_confidence"":0.12084827323754628,""ppo_position"":-0.12084827323754628,""ppo_signal"":-1}","{""reason"":""no_delta"",""submitted"":false}"
2026-05-25T20:34:01.868125+00:00,2026-05-25,sell,SHORT,-1,0.11100440379486005,77375.9921875,-29,0,-29,true,1000000.0,1000000.0,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,197,197,"{""baseline_confidence"":0.8933472037315369,""baseline_signal"":0,""ensemble_confidence"":0.11100440379486005,""ensemble_raw"":-0.11100440379486005,""ensemble_signal"":-1,""mean_confidence"":0.02272653579711914,""mean_signal"":0,""mlp_confidence"":0.9757810235023499,""mlp_probs"":[0.01942029595375061,0.9757810235023499,0.004798628855496645],""mlp_signal"":0,""ppo_actions"":[0.04921387881040573,0.4363424479961395,-0.9249523878097534],""ppo_confidence"":0.14646535366773605,""ppo_position"":-0.14646535366773605,""ppo_signal"":-1}","{""contract"":""MBTK6"",""order_status"":""PendingSubmit"",""qty"":29,""side"":""SELL"",""submitted"":true}"
2026-05-26T19:29:56.176521+00:00,2026-05-26,buy,SHORT,-1,0.09998310223275342,75782.390625,0,-29,29,true,1004713.42,1004713.42,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,259,259,"{""baseline_confidence"":0.896808922290802,""baseline_signal"":0,""ensemble_confidence"":0.09998310223275342,""ensemble_raw"":-0.09998310223275342,""ensemble_signal"":-1,""mean_confidence"":0.020164266228675842,""mean_signal"":0,""mlp_confidence"":0.9839003086090088,""mlp_probs"":[0.012523176148533821,0.9839003086090088,0.0035765310749411583],""mlp_signal"":0,""ppo_actions"":[0.08389955759048462,0.5203307271003723,-1.0],""ppo_confidence"":0.131923238436381,""ppo_position"":-0.131923238436381,""ppo_signal"":-1}","{""contract"":""MBTK6"",""order_status"":""Submitted"",""qty"":29,""side"":""BUY"",""submitted"":true}"
2026-05-26T19:35:23.903235+00:00,2026-05-26,sell,SHORT,-1,0.1225161643995564,75828.828125,-65,0,-65,true,1004455.34,1004455.34,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,258,258,"{""baseline_confidence"":0.9009630084037781,""baseline_signal"":0,""ensemble_confidence"":0.1225161643995564,""ensemble_raw"":-0.1225161643995564,""ensemble_signal"":-1,""mean_confidence"":0.018871687352657318,""mean_signal"":0,""mlp_confidence"":0.9866228699684143,""mlp_probs"":[0.010556408204138279,0.9866228699684143,0.0028207486029714346],""mlp_signal"":0,""ppo_actions"":[0.006081055849790573,0.5089551210403442,-1.0],""ppo_confidence"":0.1616546077032884,""ppo_position"":-0.1616546077032884,""ppo_signal"":-1}","{""contract"":""MBTK6"",""order_status"":""Submitted"",""qty"":65,""side"":""SELL"",""submitted"":true}"
2026-05-27T20:10:08.504550+00:00,2026-05-27,buy,SHORT,-1,0.05220440986108985,75088.0078125,0,-65,65,true,1009318.96,1009318.96,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,297,297,"{""baseline_confidence"":0.9190751910209656,""baseline_signal"":0,""ensemble_confidence"":0.05220440986108985,""ensemble_raw"":-0.05220440986108985,""ensemble_signal"":-1,""mean_confidence"":0.010751292109489441,""mean_signal"":0,""mlp_confidence"":0.9986525774002075,""mlp_probs"":[0.0011352095752954483,0.9986525774002075,0.00021211165585555136],""mlp_signal"":0,""ppo_actions"":[0.2332582026720047,0.5600976347923279,-1.0],""ppo_confidence"":0.06888138751188914,""ppo_position"":-0.06888138751188914,""ppo_signal"":-1}","{""contract"":""MBTK6"",""order_status"":""Submitted"",""qty"":65,""side"":""BUY"",""submitted"":true}"
2026-05-27T20:15:22.234400+00:00,2026-05-27,hold,SHORT,-1,0.05534476317543175,75133.390625,0,0,0,false,1008693.66,1008693.66,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,297,297,"{""baseline_confidence"":0.9146804809570312,""baseline_signal"":0,""ensemble_confidence"":0.05534476317543175,""ensemble_raw"":-0.05534476317543175,""ensemble_signal"":-1,""mean_confidence"":0.012207962572574615,""mean_signal"":0,""mlp_confidence"":0.9989222288131714,""mlp_probs"":[0.0009199785999953747,0.9989222288131714,0.00015780188550706953],""mlp_signal"":0,""ppo_actions"":[0.22052426636219025,0.5604009032249451,-1.0],""ppo_confidence"":0.0730249434709549,""ppo_position"":-0.0730249434709549,""ppo_signal"":-1}","{""reason"":""no_delta"",""submitted"":false}"
2026-05-27T20:28:56.466141+00:00,2026-05-27,hold,SHORT,-1,0.05408166585687996,75187.1171875,0,0,0,false,1008693.66,1008693.66,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,298,298,"{""baseline_confidence"":0.9139097332954407,""baseline_signal"":0,""ensemble_confidence"":0.05408166585687996,""ensemble_raw"":-0.05408166585687996,""ensemble_signal"":-1,""mean_confidence"":0.013477660715579987,""mean_signal"":0,""mlp_confidence"":0.9987251162528992,""mlp_probs"":[0.0010915488237515092,0.9987251162528992,0.00018334080232307315],""mlp_signal"":0,""ppo_actions"":[0.20575600862503052,0.5477874279022217,-0.967618465423584],""ppo_confidence"":0.07135834296544392,""ppo_position"":-0.07135834296544392,""ppo_signal"":-1}","{""reason"":""no_delta"",""submitted"":false}"
2026-05-27T22:06:18.044117+00:00,2026-05-27,hold,SHORT,-1,0.011811093599438924,74554.03125,0,0,0,false,1008693.66,1008693.66,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,309,309,"{""baseline_confidence"":0.910273015499115,""baseline_signal"":0,""ensemble_confidence"":0.011811093599438924,""ensemble_raw"":-0.011811093599438924,""ensemble_signal"":-1,""mean_confidence"":0.014767870306968689,""mean_signal"":0,""mlp_confidence"":0.9990863800048828,""mlp_probs"":[0.000785049342084676,0.9990863800048828,0.00012865313328802586],""mlp_signal"":0,""ppo_actions"":[0.3101973533630371,0.5686437487602234,-0.9255937337875366],""ppo_confidence"":0.015584210554758707,""ppo_position"":-0.015584210554758707,""ppo_signal"":-1}","{""reason"":""no_delta"",""submitted"":false}"
2026-05-27T23:03:43.946812+00:00,2026-05-27,hold,LONG,1,0.001010294148569448,74305.2890625,0,0,0,false,1008693.66,1008693.66,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,313,313,"{""baseline_confidence"":0.9095311760902405,""baseline_signal"":0,""ensemble_confidence"":0.001010294148569448,""ensemble_raw"":0.001010294148569448,""ensemble_signal"":1,""mean_confidence"":0.014720797538757324,""mean_signal"":0,""mlp_confidence"":0.9989020824432373,""mlp_probs"":[0.0009284761035814881,0.9989020824432373,0.00016942541697062552],""mlp_signal"":0,""ppo_actions"":[0.4188807010650635,0.533623456954956,-0.9485050439834595],""ppo_confidence"":0.0013330380121866863,""ppo_position"":0.0013330380121866863,""ppo_signal"":1}","{""reason"":""no_delta"",""submitted"":false}"
2026-05-28T00:41:18.432136+00:00,2026-05-28,hold,LONG,1,0.005982741078680937,74405.9765625,0,0,0,false,1008693.66,1008693.66,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,306,306,"{""baseline_confidence"":0.9151454567909241,""baseline_signal"":0,""ensemble_confidence"":0.005982741078680937,""ensemble_raw"":0.005982741078680937,""ensemble_signal"":1,""mean_confidence"":0.012714475393295288,""mean_signal"":0,""mlp_confidence"":0.9989746809005737,""mlp_probs"":[0.0008627403876744211,0.9989746809005737,0.00016254623187705874],""mlp_signal"":0,""ppo_actions"":[0.488486647605896,0.5126509666442871,-0.977455735206604],""ppo_confidence"":0.007893959681193033,""ppo_position"":0.007893959681193033,""ppo_signal"":1}","{""reason"":""no_delta"",""submitted"":false}"
2026-05-28T01:09:41.124174+00:00,2026-05-28,hold,LONG,1,0.016430937421523222,74409.6015625,0,0,0,false,1008693.66,1008693.66,connected,f9d63c0f2cd7,live_scrape_cryptobert_mlp_ppo_ensemble,307,307,"{""baseline_confidence"":0.9194175004959106,""baseline_signal"":0,""ensemble_confidence"":0.016430937421523222,""ensemble_raw"":0.016430937421523222,""ensemble_signal"":1,""mean_confidence"":0.010797686874866486,""mean_signal"":0,""mlp_confidence"":0.9993170499801636,""mlp_probs"":[0.0005823654937557876,0.9993170499801636,0.00010052000288851559],""mlp_signal"":0,""ppo_actions"":[0.4568476974964142,0.5655937790870667,-0.9574018120765686],""ppo_confidence"":0.021679888168970745,""ppo_position"":0.021679888168970745,""ppo_signal"":1}","{""reason"":""no_delta"",""submitted"":false}"
