timestamp_utc,date,account_status,net_liquidation,portfolio_value,signal,signal_raw,confidence,btc_price,target_contracts,components_json
2026-05-25T20:05:14.785754+00:00,2026-05-25,connected,1000000.0,1000000.0,SHORT,-1,0.09158951372762231,77408.1171875,0,"{""baseline_confidence"":0.9086805582046509,""baseline_signal"":0,""ensemble_confidence"":0.09158951372762231,""ensemble_raw"":-0.09158951372762231,""ensemble_signal"":-1,""mean_confidence"":0.019756898283958435,""mean_signal"":0,""mlp_confidence"":0.9845842719078064,""mlp_probs"":[0.012513156048953533,0.9845842719078064,0.0029026500415056944],""mlp_signal"":0,""ppo_actions"":[0.12012685835361481,0.4155190587043762,-0.8981907367706299],""ppo_confidence"":0.12084827323754628,""ppo_position"":-0.12084827323754628,""ppo_signal"":-1}"
2026-05-25T20:34:01.868125+00:00,2026-05-25,connected,f9d63c0f2cd7,1000000.0,1000000.0,SHORT,-1,0.11100440379486005,77375.9921875,-29,"{""baseline_confidence"":0.8933472037315369,""baseline_signal"":0,""ensemble_confidence"":0.11100440379486005,""ensemble_raw"":-0.11100440379486005,""ensemble_signal"":-1,""mean_confidence"":0.02272653579711914,""mean_signal"":0,""mlp_confidence"":0.9757810235023499,""mlp_probs"":[0.01942029595375061,0.9757810235023499,0.004798628855496645],""mlp_signal"":0,""ppo_actions"":[0.04921387881040573,0.4363424479961395,-0.9249523878097534],""ppo_confidence"":0.14646535366773605,""ppo_position"":-0.14646535366773605,""ppo_signal"":-1}"
2026-05-26T19:29:56.176521+00:00,2026-05-26,connected,f9d63c0f2cd7,1004713.42,1004713.42,SHORT,-1,0.09998310223275342,75782.390625,0,"{""baseline_confidence"":0.896808922290802,""baseline_signal"":0,""ensemble_confidence"":0.09998310223275342,""ensemble_raw"":-0.09998310223275342,""ensemble_signal"":-1,""mean_confidence"":0.020164266228675842,""mean_signal"":0,""mlp_confidence"":0.9839003086090088,""mlp_probs"":[0.012523176148533821,0.9839003086090088,0.0035765310749411583],""mlp_signal"":0,""ppo_actions"":[0.08389955759048462,0.5203307271003723,-1.0],""ppo_confidence"":0.131923238436381,""ppo_position"":-0.131923238436381,""ppo_signal"":-1}"
2026-05-26T19:35:23.903235+00:00,2026-05-26,connected,f9d63c0f2cd7,1004455.34,1004455.34,SHORT,-1,0.1225161643995564,75828.828125,-65,"{""baseline_confidence"":0.9009630084037781,""baseline_signal"":0,""ensemble_confidence"":0.1225161643995564,""ensemble_raw"":-0.1225161643995564,""ensemble_signal"":-1,""mean_confidence"":0.018871687352657318,""mean_signal"":0,""mlp_confidence"":0.9866228699684143,""mlp_probs"":[0.010556408204138279,0.9866228699684143,0.0028207486029714346],""mlp_signal"":0,""ppo_actions"":[0.006081055849790573,0.5089551210403442,-1.0],""ppo_confidence"":0.1616546077032884,""ppo_position"":-0.1616546077032884,""ppo_signal"":-1}"
2026-05-27T20:10:08.504550+00:00,2026-05-27,connected,f9d63c0f2cd7,1009318.96,1009318.96,SHORT,-1,0.05220440986108985,75088.0078125,0,"{""baseline_confidence"":0.9190751910209656,""baseline_signal"":0,""ensemble_confidence"":0.05220440986108985,""ensemble_raw"":-0.05220440986108985,""ensemble_signal"":-1,""mean_confidence"":0.010751292109489441,""mean_signal"":0,""mlp_confidence"":0.9986525774002075,""mlp_probs"":[0.0011352095752954483,0.9986525774002075,0.00021211165585555136],""mlp_signal"":0,""ppo_actions"":[0.2332582026720047,0.5600976347923279,-1.0],""ppo_confidence"":0.06888138751188914,""ppo_position"":-0.06888138751188914,""ppo_signal"":-1}"
2026-05-27T20:15:22.234400+00:00,2026-05-27,connected,f9d63c0f2cd7,1008693.66,1008693.66,SHORT,-1,0.05534476317543175,75133.390625,0,"{""baseline_confidence"":0.9146804809570312,""baseline_signal"":0,""ensemble_confidence"":0.05534476317543175,""ensemble_raw"":-0.05534476317543175,""ensemble_signal"":-1,""mean_confidence"":0.012207962572574615,""mean_signal"":0,""mlp_confidence"":0.9989222288131714,""mlp_probs"":[0.0009199785999953747,0.9989222288131714,0.00015780188550706953],""mlp_signal"":0,""ppo_actions"":[0.22052426636219025,0.5604009032249451,-1.0],""ppo_confidence"":0.0730249434709549,""ppo_position"":-0.0730249434709549,""ppo_signal"":-1}"
